,network,campaign,country_code,install,cost,rev_14,event_date,rev_30,is_adwords,is_minter,is_unity,profit,name,pick
88,unity_ads,Tier 123_030921,Ukraine,15217,67.56,189.19199999999995,92,170.22699999999992,0,0,1,121.63199999999995,Tier 123_030921-Ukraine-unity_ads,1.0
89,unity_ads,Tier 123_030921,United Kingdom,995,48.79,109.07370000000003,92,94.5334,0,0,1,60.28370000000003,Tier 123_030921-United Kingdom-unity_ads,1.0
90,unity_ads,Tier 123_030921,United States,2405,214.79999999999993,505.50549999999987,92,447.35710000000006,0,0,1,290.7054999999999,Tier 123_030921-United States-unity_ads,1.0
91,unity_ads,Tier 123_030921,Uruguay,60,0.39000000000000007,1.524699999999999,41,1.3703,0,0,1,1.134699999999999,Tier 123_030921-Uruguay-unity_ads,1.0
92,unity_ads,Tier 123_030921,Viet Nam,593,4.469999999999999,14.843600000000006,92,12.714199999999998,0,0,1,10.373600000000007,Tier 123_030921-Viet Nam-unity_ads,1.0
93,unity_ads,Tier 4_030921,Albania,69,0.20000000000000007,0.7233,48,0.6487999999999999,0,0,1,0.5233,Tier 4_030921-Albania-unity_ads,1.0
94,unity_ads,Tier 4_030921,Algeria,907,3.2199999999999993,8.277699999999998,92,7.4486000000000026,0,0,1,5.057699999999999,Tier 4_030921-Algeria-unity_ads,1.0
95,unity_ads,Tier 4_030921,Armenia,59,0.22000000000000008,0.9244999999999998,43,0.8884999999999997,0,0,1,0.7044999999999997,Tier 4_030921-Armenia-unity_ads,1.0
96,unity_ads,Tier 4_030921,Azerbaijan,270,0.6800000000000003,3.6080000000000005,82,3.0143,0,0,1,2.9280000000000004,Tier 4_030921-Azerbaijan-unity_ads,1.0
97,unity_ads,Tier 4_030921,Bangladesh,620,1.6400000000000006,5.311100000000001,90,4.7101,0,0,1,3.6711,Tier 4_030921-Bangladesh-unity_ads,1.0
98,unity_ads,Tier 4_030921,Belarus,627,0.7900000000000003,9.616899999999998,87,8.238799999999996,0,0,1,8.826899999999997,Tier 4_030921-Belarus-unity_ads,1.0
99,unity_ads,Tier 4_030921,"Bolivia, Plurinational State Of",337,1.5500000000000007,3.8426000000000013,89,3.419600000000001,0,0,1,2.2926000000000006,"Tier 4_030921-Bolivia, Plurinational State Of-unity_ads",1.0
100,unity_ads,Tier 4_030921,Bosnia & Herzegovina,125,0.4800000000000002,1.9698,63,1.7145000000000001,0,0,1,1.4897999999999998,Tier 4_030921-Bosnia & Herzegovina-unity_ads,1.0
101,unity_ads,Tier 4_030921,Dominican Republic,200,0.5900000000000003,2.4996999999999985,81,2.1679,0,0,1,1.9096999999999982,Tier 4_030921-Dominican Republic-unity_ads,1.0
102,unity_ads,Tier 4_030921,Egypt,225,0.6000000000000003,2.2934000000000005,75,2.1561000000000003,0,0,1,1.6934000000000002,Tier 4_030921-Egypt-unity_ads,1.0
103,unity_ads,Tier 4_030921,El Salvador,212,0.9900000000000004,2.5500999999999996,78,2.2436999999999996,0,0,1,1.5600999999999992,Tier 4_030921-El Salvador-unity_ads,1.0
104,unity_ads,Tier 4_030921,Georgia,121,0.35000000000000003,2.0952000000000006,58,1.9332000000000005,0,0,1,1.7452000000000005,Tier 4_030921-Georgia-unity_ads,1.0
105,unity_ads,Tier 4_030921,Guatemala,269,0.7000000000000004,3.1325999999999996,87,2.7188999999999997,0,0,1,2.432599999999999,Tier 4_030921-Guatemala-unity_ads,1.0
106,unity_ads,Tier 4_030921,Honduras,284,1.0400000000000005,3.3877000000000006,84,3.0726000000000004,0,0,1,2.3477,Tier 4_030921-Honduras-unity_ads,1.0
107,unity_ads,Tier 4_030921,India,161,0.16000000000000003,2.3521999999999994,59,2.1375,0,0,1,2.1921999999999993,Tier 4_030921-India-unity_ads,1.0
108,unity_ads,Tier 4_030921,Jamaica,66,0.21000000000000008,0.6462,45,0.6238,0,0,1,0.4361999999999999,Tier 4_030921-Jamaica-unity_ads,1.0
109,unity_ads,Tier 4_030921,Jordan,150,0.6000000000000003,1.4829999999999997,63,1.2803,0,0,1,0.8829999999999993,Tier 4_030921-Jordan-unity_ads,1.0
110,unity_ads,Tier 4_030921,Kazakhstan,229,0.7100000000000002,4.338399999999999,69,3.772200000000001,0,0,1,3.628399999999999,Tier 4_030921-Kazakhstan-unity_ads,1.0
111,unity_ads,Tier 4_030921,Kyrgyzstan,233,0.6900000000000002,2.597900000000001,86,2.342200000000001,0,0,1,1.9079000000000008,Tier 4_030921-Kyrgyzstan-unity_ads,1.0
112,unity_ads,Tier 4_030921,Lao People's Democratic Republic,99,0.34,0.7820000000000003,56,0.7230000000000001,0,0,1,0.4420000000000002,Tier 4_030921-Lao People's Democratic Republic-unity_ads,1.0
113,unity_ads,Tier 4_030921,Lebanon,181,0.6300000000000003,1.8449000000000004,78,1.3864000000000005,0,0,1,1.2149,Tier 4_030921-Lebanon-unity_ads,1.0
114,unity_ads,Tier 4_030921,Libya,119,0.24000000000000007,0.8422999999999998,60,0.8000999999999997,0,0,1,0.6022999999999997,Tier 4_030921-Libya-unity_ads,1.0
115,unity_ads,Tier 4_030921,"Macedonia, The Former Yugoslav Republic Of",69,0.20000000000000007,0.6754000000000001,43,0.6057,0,0,1,0.47540000000000004,"Tier 4_030921-Macedonia, The Former Yugoslav Republic Of-unity_ads",1.0
116,unity_ads,Tier 4_030921,Moldova,179,0.5500000000000003,2.8509000000000007,76,2.4266,0,0,1,2.3009000000000004,Tier 4_030921-Moldova-unity_ads,1.0
117,unity_ads,Tier 4_030921,Mongolia,382,1.1700000000000006,3.2800000000000007,82,2.8189000000000006,0,0,1,2.1100000000000003,Tier 4_030921-Mongolia-unity_ads,1.0
118,unity_ads,Tier 4_030921,Morocco,308,1.4600000000000009,2.6441999999999997,87,2.4474999999999993,0,0,1,1.1841999999999988,Tier 4_030921-Morocco-unity_ads,1.0
119,unity_ads,Tier 4_030921,Nepal,153,0.46000000000000013,1.0395,75,0.9741000000000001,0,0,1,0.5794999999999999,Tier 4_030921-Nepal-unity_ads,1.0
120,unity_ads,Tier 4_030921,Nicaragua,172,0.7700000000000005,1.9106,76,1.6511999999999998,0,0,1,1.1405999999999996,Tier 4_030921-Nicaragua-unity_ads,1.0
121,unity_ads,Tier 4_030921,Pakistan,490,1.2500000000000007,4.334900000000001,89,3.7299,0,0,1,3.0849,Tier 4_030921-Pakistan-unity_ads,1.0
122,unity_ads,Tier 4_030921,"Palestinian Territory, Occupied",179,0.5500000000000003,1.8769999999999998,78,1.6218000000000001,0,0,1,1.3269999999999995,"Tier 4_030921-Palestinian Territory, Occupied-unity_ads",1.0
123,unity_ads,Tier 4_030921,Serbia,119,0.36000000000000004,2.0481999999999996,70,1.9141,0,0,1,1.6881999999999995,Tier 4_030921-Serbia-unity_ads,1.0
124,unity_ads,Tier 4_030921,Trinidad And Tobago,80,0.18000000000000005,1.0619,47,1.0064,0,0,1,0.8819,Tier 4_030921-Trinidad And Tobago-unity_ads,1.0
125,unity_ads,Tier 4_030921,Tunisia,174,0.7700000000000002,1.8452000000000002,75,1.6681000000000001,0,0,1,1.0752,Tier 4_030921-Tunisia-unity_ads,1.0
126,unity_ads,Tier 4_030921,Uzbekistan,140,0.4300000000000001,1.9799000000000004,74,1.7444000000000006,0,0,1,1.5499000000000003,Tier 4_030921-Uzbekistan-unity_ads,1.0
127,unity_ads,Tier 4_030921,"Venezuela, Bolivarian Republic Of",517,1.540000000000001,5.156000000000001,92,4.6884000000000015,0,0,1,3.6159999999999997,"Tier 4_030921-Venezuela, Bolivarian Republic Of-unity_ads",1.0
